 Autoroute , Societe , Departement , Sens , PR , Absc , Echangeur , Type , Nom gare , Date 1ere m.s. , Site 
A16       ,SANEF     ,Pas de Calais,*,207,352,BERCK,Sur échangeur (diffuseur)                                                                           ,BERCK,15-05-1998,Gare isolée
A16       ,SANEF     ,Pas de Calais,*,219,218,ETAPLES-LE TOUQUET,Sur échangeur (diffuseur)                                                                           ,LE TOUQUET,15-05-1998,Gare isolée
A16       ,SANEF     ,Pas de Calais,*,231,704,NEUFCHATEL-HARDELOT,Sur échangeur (diffuseur)                                                                           ,NEUFCHATEL HARDELOT,15-05-1998,Gare isolée
A16       ,SANEF     ,Pas de Calais,*,239,539,BOULOGNE SUD,Sur échangeur (diffuseur)                                                                           ,ISQUES,15-05-1998,Gare isolée
A16       ,SANEF     ,Pas de Calais,*,243,797,,Barrière pleine voie sur l'autoroute                                                                ,HERQUELINGUE,26-05-1998,Gare isolée
A19       ,APRR      ,Yonne,*,4,767,SAINT DENIS LES SENS,Sur échangeur (diffuseur)                                                                           ,SAINT DENIS LES SENS,07-11-1997,Gare isolée
A19       ,APRR      ,Yonne,*,17,800,VILLENEUVE LA DONDAGRE,Sur échangeur (diffuseur)                                                                           ,VILLENEUVE LA DONDAGRE,07-11-1997,Gare isolée
A19       ,ARCOUR    ,Loiret,*,30,910,DIFFUSEUR DE SAVIGNY SUR CLAIRIS,Sur échangeur (diffuseur)                                                                           ,SAVIGNY-SUR-CLAIRIS,16-06-2009,Gare isolée
A19       ,ARCOUR    ,Loiret,*,36,236,,Gare sur bretelle d'échangeur                                                                       ,SAINT-HILAIRE-LES-ANDRéSIS,16-06-2009,Gare isolée
A19       ,ARCOUR    ,Loiret,*,55,634,,Gare sur bretelle d'échangeur                                                                       ,FONTENAY-SUR-LOING,16-06-2009,Gare isolée
A19       ,ARCOUR    ,Loiret,*,63,998,,Gare sur bretelle d'échangeur                                                                       ,GONDREVILLE,16-06-2009,Gare isolée
A19       ,ARCOUR    ,Loiret,*,79,709,,Gare sur bretelle d'échangeur                                                                       ,AUXY,16-06-2009,Gare isolée
A19       ,ARCOUR    ,Loiret,*,100,561,,Gare sur bretelle d'échangeur                                                                       ,ESCRENNES,16-06-2009,Gare isolée
A2        ,SANEF     ,Nord,*,29,314,FONTAINE NOTRE DAME,Sur échangeur (diffuseur)                                                                           ,FONTAINE NOTRE DAME,19-12-1972,Gare isolée
A2        ,SANEF     ,Nord,*,42,323,,Barrière pleine voie sur l'autoroute                                                                ,HORDAIN-THUN L'EVEQUE,19-12-1972,Gare isolée
A20       ,ASF       ,Lot,*,294,5,MARTEL,Sur échangeur (diffuseur)                                                                           ,MARTEL,05-02-1999,Gare isolée
A20       ,ASF       ,Lot,*,294,344,,Barrière pleine voie sur l'autoroute                                                                ,GIGNAC,05-02-1999,Gare isolée
A20       ,ASF       ,Lot,*,305,467,SOUILLAC,Sur échangeur (diffuseur)                                                                           ,SOUILLAC,13-07-2001,Gare isolée
A20       ,ASF       ,Lot,*,329,699,LABASTIDE MURAT,Sur échangeur (diffuseur)                                                                           ,LABASTIDE,13-07-2001,Gare isolée
A20       ,ASF       ,Lot,*,351,414,CAHORS NORD,Sur échangeur (diffuseur)                                                                           ,CAHORS NORD,13-07-2001,Gare isolée
A20       ,ASF       ,Lot,*,374,96,CAHORS SUD,Sur échangeur (diffuseur)                                                                           ,CAHORS SUD,10-07-1998,Gare isolée
A20       ,ASF       ,Tarn et Garonne,*,396,580,CAUSSADE,Sur échangeur (diffuseur)                                                                           ,CAUSSADE,10-07-1998,Gare isolée
A20       ,ASF       ,Tarn et Garonne,*,411,535,,Barrière pleine voie sur l'autoroute                                                                ,MONTAUBAN NORD,10-07-1998,Gare isolée
A26       ,SANEF     ,Pas de Calais,*,18,380,NORDAUSQUES,Gare sur bretelle d'échangeur                                                                       ,NORDAUSQUES (A)                         ,11-08-1983,Gare isolée
